Module,Method,Endpoint Path,Base URL,Description,Authentication,Role Required,API Scope,Parameters,Query Parameters,Body Parameters,Notes
Authentication,POST,/auth/register,/auth,Create new user account,public,,,,email;roleType;firstName;lastName;phone;resume,"email, roleType ('Candidate'/'Company'), firstName (required for Candidate), lastName (required for Candidate), phone (optional), resume (optional file)","OTP sent; CV analyzed for candidates"
Authentication,POST,/auth/login,/auth,Login with email,public,,,,,email,OTP sent
Authentication,POST,/auth/verify-otp,/auth,Verify OTP code,public,,,,,email;otp,
Authentication,POST,/auth/resend-otp,/auth,Resend OTP code (valid 5 min),public,,,,,email,
Authentication,POST,/auth/analyze,/auth,Analyze resume via Bedrock,public,,,,,filePath;saveToDatabase (optional),
Authentication,GET,/auth/warnUser,/auth,Notify logged-in user,required,,,,,,"Internal use"
Authentication,POST,/auth/logout,/auth,Invalidate session/token,required,,,,,,"Invalidates session"
Authentication,GET,/auth/check-role,/auth,Get user role by email,public,,,email,email,,Used by job application modal
Profile,GET,/profiles/me,/profiles,Get current user profile,required,,,,,,"Authenticated user only"
Profile,POST,/profiles/createOrUpdateProfile,/profiles,Create or update user profile,required,,,,,profile data,
Profile,PUT,/profiles/updateProfileVisibility,/profiles,Update profile visibility,required,,,,,visibility (public/private),
Profile,PUT,/profiles/:userId,/profiles,Update profile (fields;image;type),required,,,userId,user_image (file),profile data,Multipart form data
Profile,POST,/profiles/createOrUpdateCompanyProfile,/profiles,Create or update company profile,required,,,,,company data,
Profile,GET,/profiles/search/skills,/profiles,Search profiles by skills,required,,,,,,"Search parameters"
Profile,POST,/profiles/addSoftSkills,/profiles,Add soft skills to profile,required,,,,,skills array,
Profile,GET,/profiles/getSoftSkills,/profiles,Get current user soft skills,required,,,,,,"User-specific"
Profile,GET,/profiles/getSoftSkillsById/:userId,/profiles,Get soft skills for specific user,required,,,userId,,,
Profile,DELETE,/profiles/deleteHardSkill,/profiles,Delete hard skill,required,,,,,skill ID,
Profile,DELETE,/profiles/deleteSoftSkills,/profiles,Delete soft skill,required,,,,,skill ID,
Profile,GET,/profiles/getCompanyWithAssessments,/profiles,Get company with assessments,required,,,,,,"With assessment data"
Profile,GET,/profiles/:profileId/payments,/profiles,Get all payments for profile,required,,,profileId,,,
Profile,GET,/profiles/:profileId/payments/active,/profiles,Get active payment for profile,required,,,profileId,,,Most recent completed
Profile,POST,/profiles/:profileId/payments/add,/profiles,Add payment to profile,required,,,profileId,,payment data,
Profile,PUT,/profiles/updateFinalBid,/profiles,Update final bid,optional,,,,,bid data,
Profile,GET,/profiles/:userId,/profiles,Get profile by user ID,public,,,userId,,,Public access
Posts,GET,/post/search,/post,Get all posts with search/filters,public,,,,,search;filters;pagination,
Posts,GET,/post/details/:id,/post,Get post details by ID,public,,,id,,,
Posts,GET,/post/public-stats,/post,Get public statistics,public,,,,,,"Users; posts; companies"
Posts,POST,/post/save-post,/post,Create new post,required,,write:posts,,,,
Posts,GET,/post/get-all-posts,/post,Get all posts,required,,read:posts,,,,
Posts,GET,/post/my-posts,/post,Get current user posts,required,,read:posts,,,,
Posts,GET,/post/metrics,/post,Get post metrics,required,,,,,,"Total; active; draft; etc"
Posts,GET,/post/getPostById/:id,/post,Get post details,required,,read:posts,id,,,
Posts,PUT,/post/updatePost/:id,/post,Update post,required,,write:posts,id,,post data,
